Asunto,Reseña,Fecha,Calificación
Schlechte Erfahrung mit dem ÖBB-Autoreisezug,"Leider kann ich jezt verstehen warum die Bewertungen der ÖBB bei 1,3* liegen: ich habe bei meiner Reise mit dem Autozug von Feldkirch nach Wien mehrere schlechte Erfahrungen gehabt, von der Ankunft mit dem Auto am Verladeplatz bis zum nicht vorhandenes Abteil in dem zugeteilten Reisewagen. Erstmals gibt es am Bahnhof Feldkirch keine einzige Anweisung betr.die Route zum Verladeplatz, man muss sie selbst ausfindig machen. Nachdem man dort ankommt folgt eine nicht richtig assistierte Auffahrt auf dem Autowagen in Dunkelheit,es können also bei dem Manöver einige Kratzer erscheinen...die aber die ÖBB-Versicherung nicht übernimmt, diese deckt nur Schaden WÄHREND DES TRANSPORTES ! Mein Schreiben an die ÖBB (mit allen nötigen Unterlagen) wurde nach 42 Tagen (Negativ!) beantwortet. Fazit: teueres Ticket, billige Dienstleistungen.",2024-01-16,2
"ÖBB, zuerst eine Computerausbildung!!!Wir möchten nach Salzburg fahren","Wir möchten nach Salzburg fahren. Keine Fahrplanauskunft, alles selber über Ibternet. Preis p.P. ca 100,- Euro. Mit Vorteilskarte 80,- Euro. Sparschiene!! Ist 90 Tage vorher zu buchen. Muss heute jeder einen Computer oder Handy haben und sich damit auskennen??? Wir sind 70+!!!
Antwort: ich kann mich ja beschweren, da ist das Formular. So macht man Bahnfahren nicht schmackhaft!!!!
Brigitte Kugel",2024-01-09,2
Bis vor einem halben Jahr war sie gut…,Bis vor einem halben Jahr war sie gut aber seither nur noch beschissen. Permanent fallen zwischen wr Neustadt und Wien Züge aus. PERMANENT. Immer zu spät oder gleich ganz ausfall. Richtet euern Dreck und kauft mal neue Züge. Und dann noch die Preise für Tickets erhöhen bei der Leistung sollte ich mindestens 30% Rabatt bekommen,2024-01-08,2
Personal unsympathisch uns schreit dich…,Personal unsympathisch uns schreit dich an,2023-12-27,2
Zug war nicht geheizt und die wc waren…,"Zug war nicht geheizt und die wc waren so richtig verdreckt.
Schaffner sah man die ganze Strecke kei en.
Zug von Wien nach Graz am 7.12 um 07.05",2023-12-08,2
Der Lokführer kann keine Uhr…,Der Lokführer kann keine Uhr lesen.!!!!!!!,2023-12-07,2
zug am 28.11.2023 verspätet/entfällt,"zug am 28.11.2023, abfahrt 05.25 uhr nach wien wieder einmal verspätet:
zuerst wird um 05.24h, also 1min vor abfahrt gesagt alle aussteigen, ein waggon muss getauscht werden, und somit die abfahrt auf 05.45h verschoben, um 05.45h, der zug steht noch immer gleich am bahnsteig, es tut sich nichts, wird mitgeteilt dass 60-70min verspätung auftritt;
der nächste reguläre zug geht dann aber bereits um 06.25h, ..., das zum thema dienstleistung der öbb🙈🤮",2023-11-28,2
ÖBB leider sehr unzuverlässig und unprofessionell,"Wir reisen in den letzten Jahren üblicherweise zum und vom Flughafen mit der S-Bahn bei den letzten beiden Male funktionierte diee Rückreise vom Flughafen überhaupt nicht.
Vor 4 Wochen fuhr der ug eine Station dann war Schluß und man sollte zu einem Ersatzbus. Nur für der Weg dorthin gab es keine erklärun oder Beschilderung und so irrten die nicht ortskundigen Fahrgäste, so wie wir auch, von einer Seite des Bahnhofs zur anderen, bis wir und verärgert ein Uber-Taxi riefen. Heute fuhr der Zug von einem anderen als dem üblichen Bahnsteig ab. Am Ticket war auch der standardmäßig Bahnsteig angegeben. Als dann zur vorgesehenen Abfahrtszeit, die Menschenmenge fluchtartig über die Stiegen zu einem anderen Bahnsteig hetzen konnten wir die dort wartende Schnellbahn gerade noch mit hängenden Zuge und total verschwitzt erreichen. Es gab keine Ansage über die Änderung des Bahnsteiges für die Abfahrt. Aufgrund dieser zwei schlechten Erfahrungen innerhalb von 4 Wochen, werden wir in Zukunft auf die Bahn verzichten, auch wenn sie noch so schöne Werbefilmchen dreht, die leider nicht der Realität entsprechen und mit Uber fahren",2023-11-27,2
Ein Zug kommt gar nicht und würde nicht…,Ein Zug kommt gar nicht und würde nicht Mal abgesagt und einander er fährt einfach weg obwohl man einsteigen möchte und die tür Knopf gedrückt hat,2023-11-20,2
Einen Schnellzug als Kurzzug?,"Einen Schnellzug als Kurzzug?? Passagiere müssen aussteigen!
Im Sommer Kühlung einschalten.. bisschen mitdenken liebe ÖBB",2023-10-23,2
Nach St. Pölten: es tscheppert!!!,"Auf der Fahrt von Villach nach St. Pölten im IC691/Wagen25: der Zugbegleiter ist sprachlich (Deutsch) kaum verständlich (ich glaub, er ist neu dabei - sein Englisch ist jedenfalls besser,) in der 1. Klasse tscheppert sowohl die Schiebetüre Richtung Speisewagen als auch die in Richtung Ausstieg; Klima geschont, Nerven und Ohren aber nicht! Ich glaub, auch der Kellner ist neu - ich hab Angst, dass er fällt und der Kaffee auf mich drauf…",2023-10-17,2
Storno VorteilsCard – einfach ist anders,"Wollte mir online eine Vorteilscard kaufen, im letzten Schritt (Zahlung) ist was schief gelaufen. Also nochmal. Diesmal hat's geklappt. Schau ich bissl später in mein Konto: natürlich, zwei Vorteilscards. Stornieren in der App? Mnope. Zum Glück gibt's ne Hotline. Nach 4 Tagen und kumuliert 126 (!) Minuten in der Warteschleife komm ich tatsächlich durch. Lange dauert mein Glück aber nicht: die nette Dame am Telefon erklärt mir ganz steril, das könne man schon machen, nur nicht am Telefon.

[…]

Liebe ÖBB, seit's ma ned bes … aber es geht hier weder um nordkoreanische Nuklearcodes, noch um Trump-Stimmzettel. Das sollten sämtliche (sprich: beide) Mitarbeiter im Call-Center in höchstens 5 Klicks erledigen können.",2023-10-10,2
verspätete abfahrt,"verspätete abfahrt
leider schafft es die öbb erneut nicht, den in graz startenden zug um 05.25 uhr montag früh zeitgerecht abfahren zu lassen.
der zug wird erst um 05.20uhr beim startbahnhof hereingefahren und fährt wieder einmal wegen ""zu später zugbereitstellung"" um 4min zu spät ab.",2023-10-09,2
abfahrt graz wieder einmal verspätet,"der zug fährt montag früh planmäßig um 0525 direkt in graz ab und schon wieder ist die abfahrt ohne ersichtlichen grund um 06min verspätet, ohne worte!",2023-10-02,2
Seit 30 Minuten in der Warteschleife,"Seit 30 Minuten in der Warteschleife, da anscheinend ALLE Mitarbeiter sich gerade telefonisch um Kunden Anliegen kümmern... ALLE??? 30 Minuten und länger im Gespräch??? Zur exakt selben Zeit? Nicht wirklich glaubwürdig.",2023-09-12,2
Wenns drauf ankommt besser nicht,"Ich bin bis jetzt etwa 5-6 mit der ÖBB gefahren, nie gab es Probleme. Hab mich schon gewundert, warum Freunde und Bekannte so viel jammern und schimpfen, aber letzte Woche durfte ich dann am eigenen Leib erfahren wieso.
Ankunft im Parkhaus in Bruck um 5.15 - Schalter nicht besetzt, aber war eh klar, kein Ding. Rückkehr eine Woche später um ca. 23 30 - Schalter nicht besetzt, auch klar. Aber wie bitte soll ich dann mein Parkticket entwerten lassen um statt 90€ nur 9€ zu bezahlen. Hat mich einige lästige Anrufe und Mails gekostet, das zu klären.
Hinreise Bruck - Wien Hbf kein Problem und pünktlich. Anschluss Wien Hbf nach Wien Flughafen kommt und kommt nicht, auf Anzeigetafeln und App allerdings keine Änderungen ersichtlich. ÖBB-Bedienstete, die auf dem Bahnsteig herumspaziert, schnauzt jeden, der sie um Hilfe bittet an. Erst als wir zu einem ÖBB Infopoint rannten kam die Erklärung naja, da gabs Änderungen, Sie brauchen jetzt doch Zug XY und der kommt in 20 min. Na eh super! Das Flugzeug wartet sicher auf mich.
Im Zug zum Flughafen wars rappelvoll, saß vor der Tür auf dem Boden, bewegen unmöglich, hätte aber eigentlich eine Sitzplatzreservierung gehabt und bezahlt, aber eh schon wurscht.
Bei der Heimreise wieder Probleme! Zug Wien - Bruck Verspätung von 47min (Aussage am Infopoint: Wenns GLÜCK haben und der Zug über eine Stunde Verspätung hat, kriegens a Geld zrück!). Hab dann eine Alternative rausgesucht, die noch so halbwegs für uns gepasst hätte, hätte aber pro Kopf 79 Euro gekostet! Anschließend Schaffner unfreundlich hoch 100, irgendwo mitten in der Nacht am Semmering wieder ein Stillstand weil wir 2 andere Züge passieren lassen müssen. Ankunft in Bruck dann mit über 1h Verspätung, dann noch die lustige Sache im Parkhaus.. wifi gibts sowieso keins und die Toilette eine Zumutung. Es war einfach unglaublich mühsam.
Also, wenns drauf ankommt, weil ich zu einem Termin muss oder ein Flugzeug erwischen muss etc. dann fahr ich in Zukunft sicher wieder mit dem Auto.",2023-08-31,2
0 information 100 e-mails,Kreeg dagelijks een mail dat er iets veranderd was in de reis naar München. Alle links aangeklikt in de mail. Leek niet echt iets veranderd. Trein van Amsterdam vertrok normaal. In München stopten we ineens in Oost ipv centraal. Conducteur had niks gezegd. Ook na vragen deed hij alsof het normaal was. Wij hebben voor de terugreis ÖBB maar even gebeld. De vrouw aan de lijn was ook heel vaag. Ze had wel informatie. Toen bleek de trein 50 minuten eerder ook van een ander station te vertrekken. Ik ben heel benieuwd hoeveel mensen de trein hebben gemist. Communicatie is waardeloos. Trein zelf verder oké.,2023-08-20,2
Gestern stundenlang warten müssen am…,"Gestern stundenlang warten müssen am Hauptbahnhof Linz, um 9.17 UHr Abfahrt nach Wien Flughafen um 12÷06 noch immer nichts, mussten trotzdem aber zum Flughafen Wien Schwechat! Alles reserviert und bezahlt gehabt aber es war eine einzige Katastrophe!!! Zum Glück in einem ""falschen "" Zug eingestiegen und doch noch rechtzeitig geschafft zum Flieger!!! Vollgestopft und turbulent im Zug aber wie gesagt es hat sich ausgezahlt!!! Das nächste Mal wieder mit dem eigenen Auto anreisen!!! Zumindest zum Flughafen!!!",2023-08-17,2
Falsche/fehlende Informationen beim Kauf der Fahrkarte,"Verspätungen stören mich bei Urlaubsreisen weniger, die kann man einkalkulieren. Und bei Fernzügen kann man nicht jede Verspätung den ÖBB alleine anlasten.

Die Reise mit dem Schlafwagen ist sehr angenehm. Leider ist der Schlafwagen immer schon fünf Monate oder länger vor der Reise ausgebucht. Dem könnte man eventuell mit einer Erhöhung des Angebots begegnen. Auch hier wird es wohl nicht an den ÖBB alleine liegen.

Wirklich frech aber ist folgende Vorgangsweise (und damit meine ich nicht den Ausfall des Zuges wegen Gleisbauarbeiten in Bayern (das ist einfach Pech), sondern das Agieren der ÖBB in diesem Zusammenhang):

Am 14. um 10:30 Uhr war die Unterbrechung, wie ich gerade las, schon in allen Medien.
Am 14. um 15:30 Uhr haben die ÖBB mir Zug-Karten samt Sitzplatzreservierung für eine Verbindung von Ost- nach Westösterreich ohne Umsteigen am 18. angeboten und verkauft (ich habe bewusst nach einer Verbindung ohne oder mit wenig Umsteigen und einem barrierefreien Einstieg gesucht).
Am 14. um 21:46 Uhr weisen die ÖBB per Mail auf eine gesperrte Unterführung am Zielbahnhof hin. Kein Wort von Zugausfall oder Ersatzverkehr.
Am 16. in der Früh schreiben die ÖBB, dass der Zug entfällt (kein Wort von Schienenersatzverkehr). Laut App gibt es Schienenersatzverkehr mit bis zu 60 min Verzögerung.
Weder Totalausfall noch Schienenersatzverkehr bringen mich barrierefrei nach Westösterreich.
Als ""Stornogebühr"" behalten die ÖBB den Preis für den Sitzplatz ein. Der Einzug der Rechnung erfolgte kurz nach der Stornierung. Ich bin neugierig, wie lange die Rückzahlung dauert und ob und wie lange ich über die Stornogebühr diskutieren muss.",2023-08-17,2
ÖBB am Nebengleis,"Die ÖBB wird demnächst die Strecke Wien-Villach wieder mit Dampfloks und Holzbänken bedienen. Denn die ÖBB hat diese Strecke (4:30 Stunden Fahrzeit) offenbar zu einer Nebenstrecke (wann wird sie ganz geschlossen?) erklärt: Ausrangiertes Wagenmaterial, das nie für den Fernverkehr vorgesehen war, keine Reservierungsmöglichkeit, kein Speisewagen. Die ÖBB versenkt Milliarden in den Ausbau von zwei Tunnelprojekten, deren Fertigstellung schon seit Jahrzehnten auf sich warten lässt und sperrt gleichzeitig eine ""Nebenstrecke"" nach der anderen zu und zwingt so die Bevölkerung, die nicht gerade in den Ballungszentren lebt, erst wieder ins Auto. So wird die Klimawende mit Sicherheit gelingen! Das Klimaticket kann man eigentlich gleich wieder zurückgeben.",2023-08-05,2
Überfüllte Züge,"Überfüllte Züge, nach 19:00 kommt man von Wien nach Klagenfurt nur noch mit dem Nightjet - bekommt aber für 4 Personen keine vier Plätze, wenn zwei davon Kinder sind. Meine Tochter hat dann auf einen Sitzplatz geklopft, um ihren Papa einzuladen, dort zu sitzen - danach war das komplette Abteil vollgestaubt - als hätte seit Jahren niemand saubergemacht. In der nächtlichen Wartezeit am Bahnhof in Salzburg macht das Abkoppeln der Waggons soviel Krach, dass an Schlaf nicht nur wegen dem geringen Platz, sondern auch wegen dem Lärm nicht mehr zu denken ist. Es gab sogar eine Person, die am Gang geschlafen hat. Es ist einfach unglaublich unkomfortabel und man ist nach so einer Reise im Nachtzug erst recht urlaubsreif. Zwei Sterne, weil die Verbindung vom Bahnhof Wien zum Flughafen per Railjet wirklich einfach zu buchen und günstig war. Für längere Reisen mit der Familie ist eine Zugfahrt mit der ÖBB aber nur bedingt reizvoll, da ein PKW-Fahrt deutlich bequemer, flexibler und auch nicht wirklich teurer ist - eigentlich sehr schade.",2023-08-03,2
"Ride fine, VENDING MASHINE THO!?","The ride is fine, the vending machine ate my cash and dident give me the product (more specifically the one in Speilfeld Straß) I put my money in twice to get a pack of ships, got stuck, tried again, got stuck again. Fix it or give me my 3.80€ back",2023-08-02,2
"Oft Unpünktlich, Unsauber, Unorganisiert","-Unpünktlich, fast jeden Tag fahr ich mit verspäteten Zügen in und von der Arbeit

-Sauberkeit im Zug, am Bahnsteig, im Bahnhof und selbst in den kostpflichtigen WCs meist mangelhaft bis schlecht.

-Railjet, kleine Türen blockieren dass flüssige aus und einsteigen. Abteile wie die Ruhzone sind zwar schön gedacht aber es hält sich halt kaum jemand dran, die Zugbegleiter kümmerts nicht.

-Nightjet, am Morgen von Linz nach Amstetten keine Sitzplätze da Fahrgäste kreuz und quer rumliegen. Oft blockieren 2 Personen ein Abteil dass für 6 Personen ist. Da muss am Morgen der Zugbegleiter durchgehen und dafür sorgen dass sie sich aufsetzen um Platz zu schaffen

2 Sterne gibt weil die ÖBB nicht für alles allein die Schuld trägt. Mir ist schon klar dass wir in einer „S***** drauf“ Gesellschaft leben wo sich viele Menschen einfach nur maximal egoistisch verhalten.",2023-07-30,2
Sitzplatz gekauft wofür???,"Wofür bezahlt man extra für einen Sitzplatz im ""Ruhewagen""?! Wenn dann der gebuchte Railjet von Graz nach Wien ausfällt und eine grindige ""Ersatzgarnitur"" eingeschoben wird, keine Wagennummerierung, kein ""Ruhewagen"", keine Sitzplatzreservierung mehr, die Klimaanlage wurde nur für den 1. Klasse Wagen eingeschaltet, die FahrgästInnen der komplett überfüllten 2. Klasse dürfen 3 Stunden schwitzen, natürlich auch kein Wifi, keine Ankündigungstafeln, Wagen schon beim Einsteigen vermüllt... einfach grindig das Ganze... nach Möglichkeit nur mehr mit dem Privat PKW!!!",2023-07-13,2
Bekomme seit 2 Monate keine Familien…,"Bekomme seit 2 Monate keine Familien Karte. Direkt zum Schalter der OÖBB schicken geht angeblich nicht. Unverständlich, da es bei dein OÖVV kein Problem war, diese am Schalter abzuholen.
Ärgerlich und nur Bescheuert.",2023-07-10,2
Fast jeden Tag Verspätungen,"Fast jeden Tag Verspätungen, leider mittlerweile ein Risiko wenn man pünktlich wohin muss! sehr oft schmutzige wagons und sitze, relativ teuer.....leider bin ich darauf angewiesen;-(",2023-07-04,2
Komfort,"Ich bin täglich mehr als 2 Stunden im Zug unterwegs. Diese 4 Sitzer in der S Bahn sind unbequem und man hat keine Privatsphäre.
Um 6h früh ist ausserdem jeder noch müde, also zu viel Licht.
Und an heißen Tagen ist die Klimaanlage zum Erkälten eingestellt, sogar schon am Morgen, wo es draußen noch kühl ist.
Zum Zugpersonal: Nur gute Erfahrungen, Daumen hoch",2023-07-03,2
Sind heute um 7uhr30 nach Öpping…,Sind heute um 7uhr30 nach Öpping gefahren haben nach Haltestelle Rohrbach Berg im Zug gleich f.Haltestelle Öpping gedrückt wurde aber nicht angehalten erst on Schlägl wir wären in Öpping abgeholt worden so musste man uns von Schlägl holen hatten uns sehr geärgert Kontrolleur sagte es hat vorne im Zug nichts geleuchtet,2023-07-01,2
Schrecklich - wie im Krieg,"Am 25.06. von Graz nach Feldkirch mit dem Nachtzug: Privatabteil gebucht, da jedoch ein Sitzwagenwagon weniger war, wurde mein Abteil einfach gestrichen! Personen mit gültigem Ticket jedoch ohne Sitzplatzreservierung wurden einfach aus dem Zug geschmissen!!! Wer sich dagegen gewehrt hat, wurde mit der Polizei weggebracht!!! Die Zugbegleiterin im Wagen 313 war äußerst unverschämt und unfreundlich! Der Zug ist dann verspätet losgefahren!!! In Bruck an der Mur und Leoben dann das ganze Theater wieder!!!
Von Kundenservice und Freundlichkeit war genau das Gegenteil erreicht!",2023-06-30,2
Fahrrad viel zu teuer ...,Fahrrad viel zu teuer .... für was ...?,2023-06-11,2
1h40min Verspätung,"1h40min Verspätung. So gut wie alle Getränke und Speisen waren schon zu Beginn der Reise ausverkauft.
Personal war trotz der chaotischen Umstände bemüht.",2023-05-21,2
Hätte gern meine Lebenszeit zurück,So oft Verspätung oder Probleme auf der Fahrbahn. Verbindungen aufs Land auch nicht gut. Zeitverschwendung,2023-05-12,2
Der Zug von Werndorf nach Graz HB war…,"Der Zug von Werndorf nach Graz HB war übrtfüllt. Div. Schulklassen waren mit an Board. Zudem wollte ich einen Upgrade auf 1 Klasse ausführen lassen von Graz nach Zürich HB am Schalter in Graz. Die halbwegs freundliche Angestellte am Schalter hat mir diese Wunsch nicht erfüllen können/wollen. Der Schafner im Zug!!! hat mir diesen Wunsch erfüllen können. 18.4.23 Jetzt wurde mir noch mitgeteilt,dass der Zug nicht durchfährt nach Zürich sondern im Öztal dürfen wir vom Zug in den Bus verschieben. Ich denke ich wechsle wieder auf den Flieger!",2023-04-18,2
Beim railjet der angbelich heligen Kuh…,Beim railjet der angbelich heligen Kuh der ÖBB kommen drei von vier railjets nicht ohne eine Verspätung von über 15 min aus und zwei von diesen dreien zeigen diese auch nicht an im Zug auf der elektronischen Haltestelletafe. Vielleicht in der Hoffnung das der Fahrgast zu dumm ist dies zu Bemerken. Alles im allen eine tick besser als die DB daraufbezogen das die Züge fahren jedoch sehr sleten pünktlich oder unter Einhaltung der Fahrzeiten.,2023-04-14,2
Besser stressfrei mit dem Auto reisen,"Ich hatte gut 20min Zeit um ein Ticket am Franz-Josefs-Bahnhof zu lösen, fand allerdings keinen Ticketautomaten in der Station.

Es befanden sich keinerlei Hinweise in der Station wo sich ein Ticketautomat befindet und auch die Reinigungskraft der ÖBB konnte mir keine Auskunft geben wo einer sein könnte.

Nachdem ich einige Personen in der Station gefragt hatte erhielt ich die Info: ""Ich glaub der ist irgendwo draußen bei der Trafik wegen den Umbauarbieten""

So machte ich mich auf die Suche nach dem Ticketautomaten und ging EINE RUNDE UM DEN BAHNHOF wo mir DIESER REIN ZUFÄLLIG AUFFIEL, weil dort gerade jemand versuchte ein Ticket zu kaufen.
(Er ist gut versteckt in einer Bucht vor der Trafik).

Da DER TICKETAUTOMAT KEINE BANKOMATZAHLUNG AKZEPTIERTE, ich zu wenig Bargeld dabei hatte UND SICH AUCH KEIN BANKOMAT IN SICHTWEITE BEFAND, bin ich in den Zug gestiegen weil ich einen Termin einhalten musste.

ABER VORSICHT:
Versucht man über die App ein Ticket zu buchen lädt diese neu sobald man zur online banking app wechselt. Daher kann der Zahlungsvorgang nicht abgeschlossen werden.
+
Im Zug befindet sich kein Ticketautomat.
+
Der Schaffner kassiert auch keine Fahrkarten mehr so wie früher, sondern verrechnet höchstens eine Strafe wegen Schwarzfahren.

______________________________________________

Dieser Schaffner war zumindest so kulant auf die Buchungsbestätigung einer Freundin zu warten, welche mir über ihren Laptop auf meinen Namen ein Ticket buchte.

-----------------------------------

Da auch meine Vorteilscard nicht mehr in der App gespeichert war nahm ich sicherheitshalber ein Ticket zum Normalpreis.

Das Einloggen in meinen Account funktionierte nicht und es wurde auch kein neues Passwort an meine mail gesendet.

-->Besser die Vorteilskarte mitnehmen und sich nicht auf die gespeicherte Version verlassen.

_______________________________________________

Abgesehen davon sollte man bei Reisen mit der ÖBB realistische Umstiegszeiten bzw längere Aufenthalte einplanen, da Umstiegszeiten oft viel zu knapp berechnet sind.

Bei einer anderen Fahrt mit Umstieg in St.Pölten zb musste ich auf den nächsten Zug warten da diese Umstiegszeit selbst ohne körperliche Einschränkung nicht einzuhalten war.

_____________________________________________
_____________________________________________

FAZIT:
Wer ""alle Zeit der Welt hat"", flexibel ist UND ein Klimaticket besitzt reist wahrscheinlich gerne umweltfreundlich..
Wer allerdings stressfrei zu einem Termin reisen möchte steigt am besten in sein Auto",2023-04-07,2
ÖBB aus Umweltgründen für die Reise…,"ÖBB aus Umweltgründen für die Reise nach Venedig gewählt. Sonst gibt es keinen vernünftigen Grund die Bahn statt dem Flug zu wählen. Kostet das Doppelte die Waggons waren auf der Hinreise so überfüllt dass das Gepäck im WC gelagert werden musste, dieses war daher nicht benutzbar. Man sitzt stundenlang und kann zwischendurch kaum aufstehen, weil auch auf den Gängen die Leute stehen. Wieso verkauft man Tickets wenn es keine freien Plätze mehr gibt??? Die WC Anlagen müssten auch zwischendurch-wie es auch bei Langstreckenflügen erfolgt- gereinigt werden, ebenso die Sitzplätze und Böden denn wenn was ausgeschüttet wird müssen die nachfolgenden Gäste auf völlig verschmutzten Plätzen sitzen. Wenigstens waren die Züge halbwegs pünktlich.",2023-04-05,2
eher ein Saftladen,"eher ein Saftladen;
Schienenersatzverkehr bekommen sie absolut nicht hin; zwischen Salzburg und Wörgl;
niemand kennt sich aus und keiner kann einem Auskunft geben;
sobald 2 Leute zu viel im Zug sind - Wartezeit immer min. 30 - 45 min.

Völlig überfordertes Zugpersonal.",2023-04-01,2
Huge delay on first journey - Online tickets for upcoming journey no longer to be found in the app or on the website - Phone number useless from abroad - No reaction on my request / complaint,"First experience: Nightjet Wien - Brussels in April 2022: Seven (!) hours delay, no compensation at all.

Second experience: Nightjet Düsseldorf - Wien: no delay but other passengers occupied our numbered seats: no seat number control at all.

Third use: Nightjet Wien - Venice april 2023. Bought online a few months earlier and saved these tickets in the ÖBB app (because a pdf conversion would terminate immediately the free cancellation option). Today, a few weeks before the journey: these tickets seem to be disappeared from the app. And on the web browser, after login in, I don't find these tickets in the 'My tickets' content.

Upon clicking 'Get tickets' in the original purchase email, I see the ticket details but not the actual tickets. I got all booking references and a code but nowhere I find an option to add tickets by using these booking references. I don't find any option to create pdf tickets.

In fact I can't any longer cancel the 'lost' tickets with total refund. That was a button on the app (I made printscreens when the app properly worked). Today I still should have the right to cancel with full refund.

The help number +4351717 cannot be dialed from abroad (I hear a message 'no valid phone number').

The ÖBB-app has issues (sometimes blank screen) even after re-install on Android device. When the app works, it only shows another inland ticket I bought today but not the Nightjet tickets. Hoping for a reaction on a complaint form I have sent.

UPDATE: I figuered out that if I read the purchase mail on my phone and click the link 'get tickets', I can chose to see the link in a webbrowser or in the ÖBB app. Upon chosing the app, I found the complete ticket and converted it into a pdf (bye cancellation option.) But ... still these tickets are not stored into the 'My tickets' section, nor in the app nor in the browser.

Almost a week after an online complaint I didn't receive any helpful reaction from ÖBB.

But ÖBB offers a way of cheap, international and green travelling from city center to city center, thus they get a second star in my rating.",2023-03-15,2
Horror fahrt...,Ich bin Schüler in Salzburg und fahre öfter mit den Zügen der ÖBB. Doch meine letzte Fahrt war etwas neues. Ich bin 6h mit dem Zug unterwegs und keine einzige Toilette hat funktioniert. Eine ist bei offener Tür übergelaufen alle anderen waren verschlossen. Die nächstem Halte sind entweder so angesagten das man kaum etwas versteht oder erst gar nicht. Jedoch gibt es Fahrten die besser sind aber diese war wirklich etwas neues. Jedoch möchte ich zwei Sterne geben da ich weiß das es auch bessere Fahrten gibt und der Zug wenigstens pünktlich war.,2023-02-27,2
Unfreundlich & Schmutzig,"Von Zürich nach Wien am 17. Dezember 2022 um 14:40. 1. Klasse Unfreundliche & Arrogante Mitarbeiter!
Der Schaffner hat seine Position für seine egoistischen Machtspiele ausgenutzt und mich von oben herab behandelt! Auch die Servicetante war sehr unfreundlich und hat mich fast zusammengeschissen als ich nach den Snacks gefragt habe. Zudem war der Sitzplatz nicht geputzt und alter Abfall lag noch rum. Und das alles noch in der 1. Klasse. Habe etwas Besseres erwartet.",2023-02-02,2
Fahrpläne!!!,Bitte halten sie sich an ihre Fahrpläne und der Zug soll pünktlich kommen danke.,2025-11-22,1
Spät später ÖBB,,2025-11-22,1
Jede heimreise von Wien über wiener…,"Jede heimreise von Wien über wiener neustadt ist eine Zitterpartie um das erreichen des anschlusszuges.
0 Kompetenz",2025-11-20,1
Anschluss verpasst (jedes mal!!),"Jedes mal verpasse ich meinen Anschlusszug, wirklich jedes mal wenn ich mit der öbb fahren. Ich fahre einmal in der Woche von Innsbruck nach Salzburg, dort müsste ich umsteigen und jedesmal verpasse ich den Anschluss! Dann kann ich 40min warten…
Wenn ich nicht darauf angewiesen wär, würde ich keinen Fuß mehr in diesen Zug setzen!!!",2025-11-20,1
Abzocke mit Bearbeitungsgebühr,"Beim Nachreichen einer vergessenen Wr. Linien Jahreskarte nach einer Fahrscheinkontrolle (in Wien) wird trotzdem noch eine Bearbeitungsgebühr von 10 Euro verlangt. Die Benachrichtigung habe ich auch erst nach mehrmaligen E-mail Anfragen erhalten (nach über 2 Wochen), von wegen es wird nach ein paar Werktagen geantwortet. So viel Zeit wie ich aufgebraucht habe, müsste ich eine Gebühr verlangen. Und laut Schaffner hieß es, man braucht überhaupt nichts zahlen, wenn man eine gültige Fahrkarte nachreicht. Hätte ich das gewusst, dann hätte ich nach dem Jahreskarten-Foto am Handy gesucht. Reine Abzocke",2025-11-20,1
Ich habe noch nie eine so schlechte…,"Ich habe noch nie eine so schlechte Zuglinie wie ÖBB gesehen. Jeden Tag Verspätung oder Ausfälle. Ich stehe draußen bei Regen und -1 grad und öbb hat 40 Minuten Verspätung. Falls ihr die Möglichkeit habt zu Fuß zugehen, geht lieber.",2025-11-17,1
Die Preis Gestaltung ist abzocke…,"Die Preis Gestaltung ist abzocke eigentlich Betrug, es sollten feste Preis sein und Transparenz!!!
Mafia...",2025-11-16,1
Keine Verspätung mehr über 1 Stunde von…,Keine Verspätung mehr über 1 Stunde von passau nach München. Ist eine riesen verecheit,2025-11-15,1
Mir reicht es langsam,"Mir reicht es langsam. Ich fahre 3 Jahre zur Berufschule und es gab keinen Tag an dem der Zug nicht zu spät kam. Die kürzeste Verzögerung war 5 min die längste über 35. Ich habe so oft den Anschluss verpasst, dass ich mich nicht einmal daran erinnern kann, wann es reibungslos war. Letztes Jahr hatte der Zug einen Motorschaden mittem am Gleis und wir mussten stundenlang auf einen Ersatz warten. Nun sitze ich gerade wieder im Zug mit 12 min verspätung. Vorraussichtlich werde ich den Anschluss wieder verpassen, und das am Tag der Einschulung. Dafür zahle ich 100€ fürs Netzticket (dass dann in Salzburg nicht gilt obwohl der Zug wegen ""Beschädigungen"" am Gleis nur dorthin fahren kann) und die Kontrolleure sind auch oft uneinsichtig und unhöflich. Und dann die Ausrede: ""Verspätung im Nachbarland"". Was soll das denn? Gibt es nur 1 Gleis in Österreich? Wie wärs wenn ihr mal eure Züge repariert anstatt 10€ bearbeitungsgebühr zu verlangen wenn ich mein ticket vergessen habe und sogar ein Foto vorweisen kann. Der Umweltschutz muss leider noch warten bis es mal auf die Reihe gebracht wird, einen Zug pünktlich fahren zu lassen, denn zukünftig werde ich wieder mit dem Auto fahren. Ich bedanke mich dennoch beim Personal, welches trotzdem oft bemüht und freundlich ist.",2025-11-12,1
